Representative Exchange Rates for Selected Currencies for October 2023
Currency	October 02, 2023	October 03, 2023	October 04, 2023	October 05, 2023	October 06, 2023	October 10, 2023	October 11, 2023	October 12, 2023	October 13, 2023	October 16, 2023	October 17, 2023
Polish zloty	4.363400	4.401200	4.415500	4.376800	4.360800	4.298500	4.258900	4.265900	4.303300	4.250500	4.213100
Qatari riyal	3.640000	3.640000	3.640000	3.640000	NA	3.640000	3.640000	3.640000	NA	3.640000	3.640000
Russian ruble	98.478500	99.267700	99.455500	99.676200	100.491100	99.934900	99.980800	96.994800	97.307500	97.286500	97.345800
Saudi Arabian riyal	3.750000	3.750000	3.750000	3.750000	NA	3.750000	3.750000	3.750000	NA	3.750000	3.750000
Singapore dollar	1.368700	1.374300	1.375100	1.369100	1.367300	1.365700	1.363200	1.362500	1.369200	1.369600	1.368600
South African rand	18.965500	19.222700	19.325000	19.455300	19.420200	19.157300	18.927100	18.825300	18.964200	18.900500	18.792300
Swedish krona	10.913400	11.062900	11.079500	11.058100	11.018300	10.975300	10.881200	10.897000	10.950100	10.980200	10.923200
Swiss franc	0.913900	0.922800	0.919100	0.915800	0.912350	0.905250	0.902950	0.900200	0.908250	0.902950	0.901150
Thai baht	36.795000	37.113000	37.161000	36.922000	36.971000	36.887000	36.453000	36.199000	NA	36.276000	36.422000
Trinidadian dollar	6.732100	6.728900	6.723100	6.751100	6.750400	6.772100	6.750500	6.756100	6.737900	6.745400	6.741400
U.A.E. dirham	3.672500	3.672500	3.672500	3.672500	NA	3.672500	3.672500	3.672500	NA	3.672500	3.672500
Uruguayan peso	38.721000	39.141000	39.388000	39.397000	39.596000	39.967000	39.733000	39.953000	39.940000	NA	39.894000

Representative Exchange Rates for Selected Currencies for October 2023 Continued

Currency	October 18, 2023	October 19, 2023	October 20, 2023	October 23, 2023	October 24, 2023	October 25, 2023	October 26, 2023	October 27, 2023	October 30, 2023	October 31, 2023
Chinese yuan	7.311000	7.316700	7.317900	7.317800	7.306500	7.315500	7.319000	7.317500	7.318300	7.318200
Euro(1)	1.056500	1.055800	1.059100	1.059700	1.063200	1.057600	1.054000	1.054100	1.060500	1.061900
Japanese yen	149.800000	149.760000	149.850000	149.930000	149.750000	149.920000	150.170000	150.180000	149.800000	149.450000
U.K. pound(1)	1.218100	1.212300	1.212350	1.215500	1.221200	1.212400	1.207650	1.212350	1.212550	1.217750
U.S. dollar	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Algerian dinar	137.417400	137.582400	137.411400	137.299500	136.839700	136.684100	136.719100	136.488400	136.250100	135.722800
Australian dollar(1)	0.637900	0.630300	0.631600	0.631100	0.635900	0.638600	0.627800	0.634500	0.635300	0.634600
Botswana pula(1)	0.073300	0.072700	0.072800	0.072800	0.073200	0.072900	0.072400	0.072900	0.073100	0.073000
Brazilian real	5.056200	5.053400	5.052200	5.015800	5.005900	4.997500	5.004900	4.947400	5.006800	5.056900
Brunei dollar	1.368000	1.373800	1.372800	1.373200	1.365300	1.367300	1.372700	1.369400	1.368500	1.366900
Canadian dollar	1.368500	1.371500	1.369500	1.369300	1.373100	1.378200	1.382500	1.385700	1.383300	1.387100
Chilean peso	945.610000	937.210000	940.460000	942.420000	938.260000	929.050000	922.890000	NA	928.410000	910.280000
Czech koruna	23.354000	23.353000	23.337000	23.250000	23.196000	23.345000	23.448000	23.408000	23.178000	23.135000
Danish krone	7.062000	7.068100	7.045600	7.042900	7.021100	7.057400	7.080800	7.080800	7.038100	7.029600
Indian rupee	83.257100	83.274600	83.198200	83.166300	NA	83.151800	83.243900	83.251800	83.267600	83.269200
Israeli New Shekel	4.025000	4.029000	4.049000	4.062000	4.063000	4.063000	4.079000	4.081000	4.055000	NA
Korean won	1,351.900000	1,351.700000	1,357.600000	1,355.100000	1,353.200000	1,343.900000	1,347.000000	1,357.100000	1,352.300000	1,352.800000
Kuwaiti dinar	0.308800	0.308950	NA	0.308950	0.308750	0.308950	0.309050	NA	0.308950	0.308850
Malaysian ringgit	4.740500	4.762000	4.775000	4.780000	4.779500	4.776000	4.787500	4.775500	4.757000	4.766000
Mauritian rupee	44.568300	44.712400	44.646800	44.536800	44.552000	44.699600	44.752300	44.783900	44.681100	44.413500
Mexican peso	18.244000	18.287300	18.234300	18.121800	18.284200	18.312200	18.217800	18.075200	18.064000	18.036800
New Zealand dollar(1)	0.588650	0.584800	0.583150	NA	0.585450	0.585850	0.578250	0.582450	0.581700	0.583800
Norwegian krone	10.974900	11.079100	11.029000	11.133800	11.122600	11.193300	11.247600	11.221400	11.117900	11.181400
Omani rial	0.384500	0.384500	NA	0.384500	0.384500	0.384500	0.384500	NA	0.384500	0.384500
Peruvian sol	3.864000	3.868000	3.867000	3.867000	3.862000	3.866000	3.865000	3.856000	3.840000	3.832000
Philippine peso	56.743000	56.738000	56.864000	56.792000	56.821000	56.752000	56.827000	56.955000	NA	56.903000
Polish zloty	4.203500	4.226400	4.219400	4.202200	4.188400	4.228400	4.239500	4.226700	4.204000	4.168400
Qatari riyal	3.640000	3.640000	NA	3.640000	3.640000	3.640000	3.640000	NA	3.640000	3.640000
Russian ruble	97.372400	97.307400	95.905300	94.708100	93.522400	93.150700	93.561600	93.217400	93.243500	92.022600
Saudi Arabian riyal	3.750000	3.750000	NA	3.750000	3.750000	3.750000	3.750000	NA	3.750000	3.750000
Singapore dollar	1.368000	1.373800	1.372800	1.373200	1.365300	1.367300	1.372700	1.369400	1.368500	1.366900
South African rand	18.754800	19.106500	19.105700	19.080700	18.986300	19.093700	19.181900	18.884500	18.847700	18.801600
Swedish krona	10.930300	11.043700	11.005700	11.008600	10.944400	11.157000	11.201500	11.166400	11.171600	11.120800
Swiss franc	0.899200	0.897800	0.891450	0.892200	0.893300	0.895800	0.898550	0.901200	0.904300	0.902500
Thai baht	36.327000	36.421000	36.493000	NA	36.147000	36.131000	36.344000	36.232000	36.040000	36.017000
Trinidadian dollar	6.759400	6.765100	6.748600	6.772000	6.775300	6.764500	6.741700	6.753400	6.736900	6.746200
U.A.E. dirham	3.672500	3.672500	NA	3.672500	3.672500	3.672500	3.672500	NA	3.672500	3.672500
Uruguayan peso	39.885000	39.872000	39.942000	39.818000	39.848000	39.885000	39.959000	39.923000	39.952000	39.974000

Notes:


These representative exchange rates, which are reported to the Fund by the issuing central bank, are expressed in terms of currency units per U.S. dollar, except for those indicated by

(1) which are in terms of U.S. dollars per currency unit, and those indicated by
